episode,reward,drop_rate,avg_lat,avg_eng,loss
237,-64.5415,0.01,0.2533,1.8497,11.119964
238,-57.4106,0.0,0.2661,1.9132,10.596418
239,-54.175,0.0,0.2581,1.8482,10.496075
240,-57.3021,0.0,0.2788,1.9511,9.810152
241,-59.0748,0.0,0.2678,1.9323,9.68946
242,-61.4853,0.0,0.2736,1.967,9.282026
243,-56.7113,0.0,0.2664,1.873,8.355296
244,-63.6952,0.005,0.2786,1.9021,8.605129
245,-61.4929,0.0,0.298,1.9355,7.534439
246,-80.3682,0.015,0.2959,1.88,14.515329
247,-88.3777,0.01,0.3145,1.8845,13.685582
248,-69.6723,0.005,0.3031,1.9132,12.251827
249,-62.2672,0.0,0.3004,1.9434,11.794993
250,-73.4403,0.0,0.3123,1.9218,11.879794
251,-69.7836,0.01,0.2905,1.8767,15.506303
252,-62.3716,0.0,0.2779,1.8524,11.428738
253,-73.403,0.005,0.2829,1.9011,13.94935
254,-68.6221,0.005,0.2901,1.9171,13.196983
255,-59.2856,0.0,0.2874,1.9545,10.770578
256,-60.5377,0.0,0.2746,1.9105,11.18227
257,-59.4269,0.0,0.2889,1.9057,10.001174
258,-54.651,0.0,0.2857,1.9433,10.187706
259,-61.2275,0.0,0.2921,1.9302,9.01391
260,-69.2062,0.005,0.2898,1.8943,11.931492
261,-61.4653,0.0,0.2839,1.85,8.511933
262,-57.1773,0.0,0.2857,1.9652,8.71422
263,-60.9954,0.0,0.2988,1.9308,9.023259
264,-68.2302,0.005,0.2913,1.8699,11.356838
265,-66.384,0.005,0.2865,1.947,9.030832
266,-90.0982,0.025,0.2673,1.8638,31.455977
267,-71.3104,0.005,0.2858,1.8819,7.365758
268,-76.7439,0.015,0.2731,1.9262,18.010183
269,-62.7536,0.0,0.2773,1.9085,10.952888
270,-84.1912,0.005,0.2626,1.8145,14.395225
271,-74.6268,0.0,0.2648,1.9158,13.258135
272,-74.7689,0.0,0.2503,1.8737,12.39806
273,-91.1854,0.005,0.2429,1.8453,18.525371
274,-71.419,0.0,0.2574,1.9344,13.950661
275,-80.1539,0.0,0.2384,1.835,14.900386
276,-70.7636,0.0,0.2461,1.8961,14.547062
277,-76.4597,0.0,0.2411,1.9129,15.845876
278,-77.6123,0.005,0.2535,1.9758,15.346633
279,-77.852,0.0,0.2386,1.9047,14.818813
280,-64.5618,0.0,0.2461,1.9382,14.154501
281,-61.0674,0.0,0.2552,1.8775,13.02347
282,-62.98,0.0,0.2512,1.9381,12.060739
283,-58.8836,0.0,0.2598,1.9985,10.837516
284,-64.4264,0.0,0.2464,1.9029,10.965863
285,-55.9089,0.0,0.2543,1.8864,10.605617
286,-58.6421,0.0,0.2537,1.9744,8.701162
287,-69.6331,0.0,0.2396,1.8767,9.899859
288,-72.0316,0.005,0.2466,1.8887,10.178622
289,-72.7156,0.005,0.2394,1.8942,9.408155
290,-65.0906,0.0,0.2375,1.8613,9.409978
291,-76.3538,0.01,0.2292,1.863,13.964547
292,-68.5833,0.0,0.2309,1.8491,9.772191
293,-63.1535,0.0,0.2516,1.9032,10.785661
294,-64.9319,0.005,0.2408,1.9306,10.15705
295,-80.2695,0.01,0.238,1.8561,14.792374
296,-64.1006,0.0,0.2519,1.9002,9.608163
297,-72.1008,0.0,0.2342,1.8887,11.018124
298,-76.1243,0.005,0.24,1.7965,10.54081
299,-70.4228,0.0,0.231,1.8225,11.023865
300,-65.9516,0.0,0.2509,1.9601,10.035163
301,-72.016,0.0,0.2465,1.8278,12.353958
302,-86.9546,0.01,0.234,1.849,12.646907
303,-81.5275,0.01,0.2278,1.8631,7.531825
304,-88.4486,0.01,0.2304,1.8277,15.159138
305,-75.1644,0.0,0.2265,1.9055,14.000551
306,-79.7858,0.0,0.2189,1.9109,14.538122
307,-78.216,0.0,0.2216,1.8618,14.960181
308,-73.8529,0.0,0.2242,1.9222,14.755234
309,-75.2609,0.0,0.2127,1.8042,14.363335
310,-68.128,0.0,0.2245,1.8446,13.061366
311,-70.5398,0.0,0.219,1.7748,12.523464
312,-82.3733,0.005,0.2164,1.9057,14.094593
313,-79.9491,0.0,0.2134,1.8527,13.268215
314,-73.3187,0.0,0.2257,1.8916,13.663564
315,-75.0324,0.0,0.2253,1.9218,13.616359
316,-81.301,0.005,0.2177,1.8857,14.683492
317,-77.5003,0.005,0.2184,1.8584,13.692431
318,-67.382,0.0,0.2283,1.9121,12.289369
319,-70.7652,0.0,0.233,1.9213,13.812793
320,-73.164,0.0,0.2327,1.9312,13.459774
321,-72.8764,0.0,0.2214,1.8257,13.199632
322,-68.6222,0.0,0.2381,1.8663,13.393479
323,-72.2726,0.005,0.2374,1.9117,11.408676
324,-76.0927,0.0,0.2368,1.9485,12.925626
325,-64.5864,0.0,0.2436,1.922,12.523024
326,-69.5894,0.0,0.2356,1.8632,11.009031
327,-66.8464,0.0,0.2512,1.9397,11.712112
328,-70.8699,0.005,0.2644,1.947,12.824239
329,-62.7573,0.0,0.2606,1.9406,11.218038
330,-65.938,0.0,0.261,1.9316,10.478597
331,-61.4264,0.0,0.261,1.9205,10.271905
332,-65.3458,0.0,0.2597,1.9058,10.980582
333,-58.3843,0.0,0.2517,1.9094,9.603304
334,-61.3037,0.0,0.2722,1.9553,9.000383
335,-58.0348,0.0,0.2665,1.9248,8.905665
336,-58.692,0.0,0.2571,1.9045,7.964751
337,-60.2468,0.0,0.258,1.9266,7.980675
338,-64.0673,0.005,0.2628,1.9136,8.946186
339,-71.6874,0.005,0.2607,1.9364,10.767907
340,-72.6047,0.005,0.2756,1.921,9.792299
341,-71.7802,0.005,0.2539,1.9074,4.838614
342,-64.4418,0.0,0.2498,1.9085,9.513925
343,-79.3615,0.005,0.2861,1.89,15.048405
344,-74.7468,0.005,0.2635,1.8159,12.728025
345,-69.0609,0.0,0.2636,1.884,11.83039
346,-60.3248,0.0,0.2595,1.8995,11.195869
347,-62.3347,0.0,0.2499,1.8644,10.864201
348,-64.0515,0.0,0.2652,1.8646,10.591593
349,-71.9799,0.005,0.2557,1.9695,10.408682
350,-63.9292,0.0,0.2536,1.8666,9.568713
351,-89.3636,0.01,0.2478,1.9452,10.598563
352,-88.2623,0.01,0.2542,1.8739,18.228667
353,-65.1652,0.0,0.2536,1.9102,11.000426
354,-69.4353,0.005,0.2633,1.921,9.163671
355,-65.158,0.005,0.2679,1.9252,13.301177
356,-59.0576,0.0,0.2631,1.8825,11.801674
357,-55.985,0.0,0.2749,1.9447,10.412441
358,-57.173,0.0,0.2814,1.9194,8.732631
359,-57.8108,0.0,0.2721,1.9589,9.23964
360,-59.4739,0.0,0.2892,1.9613,8.550062
361,-87.8681,0.02,0.2976,1.9639,16.224265
362,-57.0233,0.0,0.2742,1.905,8.14743
363,-59.578,0.0,0.2811,1.878,8.552734
364,-64.7753,0.005,0.269,1.8543,10.836218
365,-53.8401,0.0,0.264,1.9208,8.07168
366,-57.6822,0.0,0.2811,1.9693,8.777419
367,-55.6659,0.0,0.2725,1.9573,7.501795
368,-59.6159,0.0,0.2813,1.9436,8.557571
369,-56.946,0.0,0.2683,1.9809,7.089547
370,-59.7036,0.0,0.259,1.9877,7.728107
371,-56.1523,0.0,0.2587,1.9239,7.049984
372,-60.4363,0.0,0.2469,1.8895,7.748928
373,-63.7173,0.0,0.2376,1.859,8.237722
374,-58.2834,0.0,0.2523,1.9414,8.163284
375,-59.2113,0.0,0.2544,1.9398,7.486409
376,-61.4383,0.0,0.253,1.9352,8.478564
377,-59.1768,0.0,0.2453,1.8228,7.261061
378,-64.2628,0.0,0.2459,1.9315,7.617623
379,-60.599,0.0,0.253,1.9624,7.461932
380,-63.0478,0.0,0.2555,1.9295,8.253385
381,-58.7057,0.0,0.2405,1.8521,8.246754
382,-57.394,0.0,0.2501,1.9395,7.024726
383,-55.2913,0.0,0.2752,1.9521,7.823422
384,-60.8668,0.0,0.2495,1.9063,7.18324
385,-57.6989,0.0,0.2675,1.9225,7.712713
386,-54.58,0.0,0.2558,1.9226,6.915336
387,-60.0031,0.0,0.2669,1.9151,7.507114
388,-56.4295,0.0,0.2602,1.9398,7.424727
389,-63.9006,0.0,0.2437,1.8995,7.848387
390,-59.9094,0.0,0.2445,1.927,7.989597
391,-66.4744,0.005,0.2545,1.9156,9.098923
392,-69.4446,0.005,0.2406,1.835,8.761896
393,-57.272,0.0,0.2505,1.8851,7.658864
394,-66.8319,0.0,0.2514,1.909,8.961917
395,-60.9015,0.0,0.2426,1.9353,8.482608
396,-63.2257,0.0,0.2544,1.8909,7.659797
397,-56.1228,0.0,0.2678,1.9075,8.519374
398,-59.4857,0.0,0.2554,1.984,7.330026
399,-67.9803,0.0,0.2432,2.0017,8.126795
400,-62.8257,0.0,0.245,1.9292,8.506767
401,-70.8712,0.0,0.2273,1.8846,9.548941
402,-65.6908,0.0,0.2306,1.8618,9.072024
403,-71.0223,0.0,0.243,1.9273,9.89667
404,-70.5645,0.0,0.2329,1.9015,10.579203
405,-68.0469,0.0,0.2309,1.9057,10.547292
406,-64.8276,0.0,0.2329,1.8914,9.775807
407,-64.1843,0.0,0.2366,1.9033,9.765826
408,-65.8251,0.0,0.2357,1.9135,10.864488
409,-64.8518,0.0,0.2333,1.9136,10.02763
410,-60.2813,0.0,0.2399,1.8991,9.13187
411,-61.5041,0.0,0.256,1.9991,8.645092
412,-66.6039,0.005,0.2415,1.8683,10.865443
413,-62.8118,0.005,0.243,1.9193,9.671976
414,-64.0999,0.0,0.2388,1.9197,8.698319
415,-67.6458,0.0,0.2341,1.901,9.523122
416,-66.3418,0.0,0.2326,1.8777,9.94176
417,-59.9533,0.0,0.2431,1.9146,8.690307
418,-64.5877,0.0,0.2351,1.8525,9.368207
419,-59.3753,0.0,0.2419,1.87,8.545421
420,-78.666,0.01,0.2402,1.9708,14.913461
421,-60.2269,0.0,0.2398,1.9116,9.342023
422,-62.8464,0.0,0.2401,1.9227,8.734517
423,-76.848,0.005,0.2314,1.8577,10.221768
424,-63.9013,0.0,0.2221,1.8195,9.267602
425,-72.2126,0.0,0.2203,1.8449,9.227741
426,-65.6142,0.0,0.2393,1.9226,9.567299
427,-64.0706,0.0,0.2455,1.9619,9.95287
428,-66.7579,0.0,0.23,1.9197,9.903954
429,-64.7408,0.0,0.2469,1.8885,10.848516
430,-65.1974,0.0,0.2441,1.9126,10.396167
431,-58.9611,0.0,0.2435,1.9119,9.070729
432,-74.3759,0.01,0.2491,1.9123,11.284199
433,-60.0451,0.0,0.2433,1.8747,8.696636
434,-60.2947,0.0,0.2544,1.9123,9.298919
435,-60.8911,0.0,0.262,1.9228,9.461611
436,-61.3215,0.0,0.2681,1.9466,7.962157
437,-66.086,0.0,0.2881,1.9367,8.259755
438,-64.5359,0.005,0.2796,1.8736,9.844879
439,-66.8856,0.0,0.2926,1.8892,8.671921
440,-69.194,0.0,0.3034,1.9157,10.572328
441,-77.9921,0.005,0.299,1.9478,10.655937
442,-75.0923,0.005,0.3002,1.8979,12.845592
443,-65.1778,0.005,0.2841,1.9157,11.876396
444,-57.7589,0.0,0.2895,1.9305,9.840797
445,-64.9327,0.005,0.2838,2.0147,12.472837
446,-55.7454,0.0,0.2775,1.9527,9.324266
447,-71.4147,0.01,0.279,1.9805,14.656304
448,-59.4845,0.0,0.2587,1.9166,9.223479
449,-56.2534,0.0,0.2644,1.9557,8.37983
450,-59.1334,0.0,0.2644,1.9634,8.23933
451,-52.4191,0.0,0.259,1.877,7.532114
452,-56.6703,0.0,0.2578,1.9435,8.108919
453,-61.4126,0.0,0.2442,1.9603,8.010517
454,-59.2026,0.0,0.2462,1.8654,7.842941
455,-61.3892,0.0,0.2467,1.9514,7.426734
456,-64.0574,0.0,0.2439,1.9112,8.571823
457,-58.0449,0.0,0.2512,1.9417,7.297203
458,-59.8813,0.0,0.2398,1.8452,7.919156
459,-70.1456,0.005,0.2496,1.8752,8.57151
460,-64.457,0.0,0.267,1.8943,7.778319
461,-67.7819,0.005,0.2771,1.9398,10.109485
462,-57.8942,0.0,0.2589,1.935,8.175541
463,-66.0564,0.0,0.2831,1.8957,8.219197
464,-58.3784,0.0,0.2671,1.9103,9.060002
465,-63.4208,0.0,0.2687,1.8527,8.520987
466,-62.2229,0.0,0.2781,1.9386,9.04831
467,-60.0403,0.0,0.2667,1.9124,9.180779
