episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
260,-82.1515,0.01,0.316,1.8953,0.652735,0.01,50000,0.55,0.28,0.165,0.005
261,-70.5445,0.005,0.3133,1.8683,0.652539,0.01,50000,0.54,0.255,0.205,0.0
262,-87.5582,0.01,0.3291,1.9739,0.652069,0.01,50000,0.525,0.28,0.19,0.005
263,-73.3232,0.005,0.3273,1.937,0.651674,0.01,50000,0.505,0.255,0.24,0.0
264,-74.1069,0.005,0.3133,1.9093,0.651506,0.01,50000,0.56,0.255,0.185,0.0
265,-81.8818,0.01,0.3159,1.9415,0.651056,0.01,50000,0.56,0.265,0.175,0.0
266,-78.5686,0.01,0.3131,1.8671,0.650492,0.01,50000,0.56,0.27,0.17,0.0
267,-75.9069,0.01,0.3142,1.9257,0.650239,0.01,50000,0.56,0.265,0.175,0.0
268,-78.5176,0.01,0.3236,1.9414,0.650043,0.01,50000,0.53,0.24,0.22,0.01
269,-80.1312,0.01,0.3115,1.9303,0.649734,0.01,50000,0.555,0.225,0.22,0.0
270,-81.0013,0.01,0.3102,1.8805,0.649648,0.01,50000,0.575,0.28,0.14,0.005
271,-81.9872,0.01,0.3174,1.944,0.649337,0.01,50000,0.565,0.275,0.16,0.0
272,-72.2551,0.005,0.3184,1.9138,0.649145,0.01,50000,0.555,0.285,0.16,0.0
273,-67.552,0.005,0.3082,1.9222,0.64882,0.01,50000,0.575,0.225,0.2,0.0
274,-70.3654,0.005,0.3193,1.9391,0.648543,0.01,50000,0.55,0.26,0.19,0.0
275,-100.0629,0.025,0.3113,1.8377,0.648432,0.01,50000,0.545,0.26,0.195,0.0
