episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
147,-88.0443,0.01,0.3207,1.8031,0.334828,0.01,29400,0.29,0.18,0.185,0.145
148,-87.5596,0.01,0.3087,1.9477,0.33428,0.01,29600,0.305,0.25,0.155,0.17
149,-87.8665,0.015,0.2973,1.842,0.333789,0.01,29800,0.26,0.3,0.145,0.105
150,-101.4944,0.02,0.2851,1.851,0.333275,0.01,30000,0.3,0.33,0.095,0.135
151,-94.1149,0.015,0.3134,1.8343,0.332937,0.01,30200,0.3,0.21,0.105,0.195
152,-89.3848,0.015,0.3071,1.7627,0.332321,0.01,30400,0.19,0.32,0.13,0.155
153,-85.0731,0.015,0.3016,1.8749,0.331707,0.01,30600,0.265,0.285,0.15,0.145
154,-86.6524,0.01,0.3096,1.916,0.331072,0.01,30800,0.33,0.23,0.175,0.14
155,-97.5197,0.02,0.295,1.8515,0.330538,0.01,31000,0.35,0.22,0.16,0.11
156,-97.3172,0.015,0.2782,1.8434,0.330236,0.01,31200,0.295,0.345,0.105,0.135
157,-87.2523,0.015,0.2907,1.845,0.329864,0.01,31400,0.265,0.335,0.115,0.145
158,-83.6708,0.005,0.2992,1.7522,0.329513,0.01,31600,0.25,0.34,0.15,0.185
159,-81.9446,0.01,0.3023,1.8083,0.329134,0.01,31800,0.255,0.29,0.17,0.135
160,-91.0605,0.015,0.2786,1.8589,0.328487,0.01,32000,0.305,0.335,0.105,0.115
161,-90.0365,0.015,0.284,1.7713,0.327934,0.01,32200,0.26,0.34,0.1,0.14
162,-93.8247,0.02,0.2919,1.8133,0.327365,0.01,32400,0.245,0.32,0.16,0.105
163,-95.9851,0.02,0.287,1.8069,0.327048,0.01,32600,0.305,0.305,0.08,0.165
164,-98.689,0.02,0.2723,1.7696,0.326595,0.01,32800,0.255,0.385,0.085,0.095
165,-94.9518,0.02,0.2763,1.8172,0.326064,0.01,33000,0.3,0.345,0.11,0.16
166,-70.6451,0.0,0.2618,1.7828,0.325499,0.01,33200,0.335,0.405,0.105,0.1
167,-79.9142,0.005,0.2584,1.8159,0.324972,0.01,33400,0.265,0.47,0.11,0.095
168,-89.587,0.015,0.2738,1.7724,0.324455,0.01,33600,0.31,0.34,0.15,0.13
169,-103.7113,0.02,0.2913,1.821,0.323966,0.01,33800,0.3,0.265,0.145,0.11
170,-83.2711,0.01,0.3028,1.7797,0.323522,0.01,34000,0.26,0.305,0.145,0.185
171,-92.475,0.015,0.2851,1.8294,0.323105,0.01,34200,0.25,0.38,0.15,0.14
172,-84.0707,0.01,0.2622,1.8266,0.322669,0.01,34400,0.3,0.375,0.1,0.11
173,-77.0508,0.005,0.2939,1.8586,0.322184,0.01,34600,0.33,0.24,0.12,0.155
174,-72.4673,0.0,0.2507,1.8529,0.321893,0.01,34800,0.27,0.49,0.11,0.09
175,-87.1996,0.015,0.268,1.856,0.321431,0.01,35000,0.35,0.33,0.075,0.12
176,-97.9623,0.02,0.2786,1.7851,0.320883,0.01,35200,0.265,0.355,0.125,0.15
177,-87.5968,0.01,0.2673,1.8199,0.320649,0.01,35400,0.24,0.45,0.105,0.125
178,-72.43,0.0,0.2437,1.8587,0.320305,0.01,35600,0.315,0.47,0.09,0.115
179,-93.4258,0.015,0.2954,1.7869,0.319969,0.01,35800,0.205,0.365,0.125,0.135
180,-84.2731,0.01,0.2941,1.8173,0.319628,0.01,36000,0.315,0.29,0.12,0.175
181,-90.8409,0.01,0.323,1.808,0.319318,0.01,36200,0.245,0.225,0.15,0.165
182,-93.7806,0.015,0.3132,1.7649,0.318779,0.01,36400,0.195,0.315,0.145,0.23
183,-89.2126,0.015,0.2834,1.8553,0.318403,0.01,36600,0.335,0.31,0.12,0.16
184,-77.6341,0.005,0.2701,1.7286,0.318069,0.01,36800,0.315,0.365,0.125,0.145
185,-75.1689,0.005,0.283,1.8271,0.317746,0.01,37000,0.345,0.29,0.11,0.135
186,-101.2067,0.02,0.2928,1.8292,0.317405,0.01,37200,0.23,0.33,0.085,0.135
187,-83.5756,0.015,0.2834,1.8372,0.317049,0.01,37400,0.3,0.315,0.13,0.145
188,-94.8398,0.02,0.2592,1.8935,0.316636,0.01,37600,0.325,0.385,0.09,0.09
189,-97.8927,0.02,0.2674,1.8751,0.3163,0.01,37800,0.33,0.375,0.095,0.125
190,-89.588,0.015,0.2837,1.7712,0.315976,0.01,38000,0.33,0.27,0.13,0.115
191,-79.7898,0.01,0.2921,1.7396,0.315545,0.01,38200,0.305,0.285,0.145,0.14
192,-81.42,0.01,0.2825,1.8089,0.31511,0.01,38400,0.32,0.305,0.15,0.12
193,-87.3641,0.01,0.2757,1.8135,0.314824,0.01,38600,0.37,0.275,0.12,0.095
194,-86.5841,0.01,0.3152,1.7814,0.314429,0.01,38800,0.265,0.235,0.165,0.16
195,-80.3376,0.01,0.2414,1.8534,0.314127,0.01,39000,0.325,0.455,0.075,0.07
196,-89.5351,0.01,0.2928,1.8068,0.313755,0.01,39200,0.38,0.2,0.15,0.135
197,-85.7698,0.01,0.2667,1.8317,0.313395,0.01,39400,0.345,0.34,0.095,0.08
198,-94.9901,0.015,0.2841,1.8766,0.31305,0.01,39600,0.25,0.365,0.13,0.115
199,-84.424,0.01,0.3016,1.8558,0.312733,0.01,39800,0.315,0.25,0.14,0.135
200,-83.5673,0.01,0.2706,1.7607,0.312476,0.01,40000,0.27,0.37,0.1,0.1
201,-83.0541,0.01,0.3278,1.7877,0.312106,0.01,40200,0.24,0.215,0.13,0.215
202,-97.5066,0.02,0.3196,1.7984,0.31185,0.01,40400,0.27,0.205,0.195,0.2
203,-103.9543,0.02,0.3068,1.8261,0.31169,0.01,40600,0.225,0.295,0.17,0.155
204,-70.9541,0.0,0.2876,1.8812,0.311375,0.01,40800,0.345,0.315,0.11,0.18
205,-79.3175,0.01,0.3008,1.7819,0.311124,0.01,41000,0.335,0.235,0.165,0.145
206,-86.647,0.01,0.3015,1.8473,0.310826,0.01,41200,0.225,0.31,0.105,0.14
